"text" "is_lure" "key" "yes_key" "rt" "group" "code" "old" "correct" "success"
"1" "b'fish'" "neutral" "a" "l" 3.8324152000132 0 "cl98xe" FALSE FALSE TRUE
"2" "b'winter'" "correct" "l" "l" 1.26281600003131 0 "cl98xe" TRUE TRUE TRUE
"3" "b'chilly'" "correct" "l" "l" 0.730229900043923 0 "cl98xe" TRUE TRUE TRUE
"4" "b'sock'" "neutral" "a" "l" 0.952311100030784 0 "cl98xe" FALSE FALSE TRUE
"5" "b'calm'" "neutral" "a" "l" 1.18465360003756 0 "cl98xe" FALSE FALSE TRUE
"6" "b'wood'" "correct" "a" "l" 0.757218599959742 0 "cl98xe" FALSE TRUE FALSE
"7" "b'valley'" "correct" "l" "l" 0.75325619999785 0 "cl98xe" TRUE TRUE TRUE
"8" "b'door'" "neutral" "a" "l" 1.26001359999646 0 "cl98xe" FALSE FALSE TRUE
"9" "b'secrtetary'" "critical past" "a" "l" 0.844986399984919 0 "cl98xe" FALSE FALSE TRUE
"10" "b'craftsman'" "critical past" "a" "l" 0.757460199994966 0 "cl98xe" FALSE FALSE TRUE
"11" "b'kiwi'" "correct" "l" "l" 0.69082320004236 0 "cl98xe" TRUE TRUE TRUE
"12" "b'syringe'" "neutral" "a" "l" 0.848702399991453 0 "cl98xe" FALSE FALSE TRUE
"13" "b'management consultant'" "critical future" "l" "l" 1.08422690001316 0 "cl98xe" TRUE FALSE FALSE
"14" "b'wine'" "neutral" "a" "l" 0.936303100024816 0 "cl98xe" FALSE FALSE TRUE
"15" "b'construction draftsman'" "critical past" "a" "l" 0.894160100026056 0 "cl98xe" FALSE FALSE TRUE
"16" "b'scientist'" "critical future" "a" "l" 0.81955569999991 0 "cl98xe" FALSE FALSE TRUE
"17" "b'data analyst'" "neutral" "l" "l" 0.956380899995565 0 "cl98xe" TRUE FALSE FALSE
"18" "b'mailman'" "critical past" "a" "l" 0.819058900000528 0 "cl98xe" FALSE FALSE TRUE
"19" "b'machine learning specialist'" "critical future" "l" "l" 1.35170930001186 0 "cl98xe" TRUE FALSE FALSE
"20" "b'muscle'" "neutral" "a" "l" 0.638045499974396 0 "cl98xe" FALSE FALSE TRUE
